contactName,contactEmail,contactCompany
Ready Player 1,rp1@companyOne.com,Company One
Ready Player 2,rp2@companyOne.com,Company One
Ready Player 3,rp3@companyOne.com,Company One
Ready Player 4,rp4@companyTwo.com,Company Two
Ready Player 5,rp5@companyTwo.com,Company Two
Ready Player 6,rp6@companyTwo.com,Company Two
Ready Player 7,rp7@companyThree.com,Company Three
Ready Player 8,rp8@companyFour.com,Company Four
Ready Player 9,rp9@companyFour.com,Company Four
Ready Player 10,rp10@companyFour.com,Company Four
Ready Player 11,rp11@testCompany.com,Test Company
Ready Player 12,rp12@testCompany.com,Test Company
Ready Player 13,rp13@testCompany.com,Test Company
Ready Player 14,rp14@foodnetwork.com,Food Network
Ready Player 15,rp15@foodnetwork.com,Food Network
"Doge, P. Hamell",dph1@foodnetwork.com,Food Network
Ready Player 16,rp16@goodeats.com,Good Eats
Ready Player 17,rp17@neat.com,Neat
Ready Player 18,rp18@neat.com,Neat
"Carter, John P.",jc11@neat.com,Neat
"Vance, Jackson C.",vj88@johnsonedwards.com,"Johnson & Edwards"
Ready Player 19,rp19@jazz.com,Jazz
Ready Player 20,rp20@jazz.com,Jazz
Ready Player 21,rp21@jazz.com,Jazz
Ready Player 22,rp22@forever.com,Forever
Ready Player 23,rp23@forever.com,Forever
Ready Player 24,rp24@chinatown.com,China Town
Ready Player 25,rp25@chinatown.com,China Town
Ready Player 26,rp26@chinatown.com,China Town
Ready Player 27,rp27@chinatown.com,China Town
Ready Player 28,rp28@vera.com,Vera
Ready Player 29,rp29@vera.com,Vera
