contactName,contactEmail,contactCompany,contactGiftCard
Ready Player 1,rp1@companyOne.com,Company One,1111111
Ready Player 2,rp2@companyOne.com,Company One,1111112
Ready Player 3,rp3@companyOne.com,Company One,1111113
Ready Player 4,rp4@companyTwo.com,Company Two,1111114
Ready Player 5,rp5@companyTwo.com,Company Two,1111115
Ready Player 6,rp6@companyTwo.com,Company Two,1111116
Ready Player 7,rp7@companyThree.com,Company Three,1111117
Ready Player 8,rp8@companyFour.com,Company Four,1111118
Ready Player 9,rp9@companyFour.com,Company Four,1111119
Ready Player 10,rp10@companyFour.com,Company Four,11111110
Ready Player 11,rp11@testCompany.com,Test Company,11111111
Ready Player 12,rp12@testCompany.com,Test Company,11111112
Ready Player 13,rp13@testCompany.com,Test Company,11111113
Ready Player 14,rp14@foodnetwork.com,Food Network,11111114
Ready Player 15,rp15@foodnetwork.com,Food Network,11111115
"Doge, P. Hamell",dph1@foodnetwork.com,Food Network,111111Hamell
Ready Player 16,rp16@goodeats.com,Good Eats,11111116
Ready Player 17,rp17@neat.com,Neat,11111117
Ready Player 18,rp18@neat.com,Neat,11111118
"Carter, John P.",jc11@neat.com,Neat,111111P.
"Vance, Jackson C.",vj88@johnsonedwards.com,Johnson & Edwards,111111C.
Ready Player 19,rp19@jazz.com,Jazz,11111119
Ready Player 20,rp20@jazz.com,Jazz,11111120
Ready Player 21,rp21@jazz.com,Jazz,11111121
Ready Player 22,rp22@forever.com,Forever,11111122
Ready Player 23,rp23@forever.com,Forever,11111123
Ready Player 24,rp24@chinatown.com,China Town,11111124
Ready Player 25,rp25@chinatown.com,China Town,11111125
Ready Player 26,rp26@chinatown.com,China Town,11111126
Ready Player 27,rp27@chinatown.com,China Town,11111127
Ready Player 28,rp28@vera.com,Vera,11111128
Ready Player 29,rp29@vera.com,Vera,11111129
